step,actic loss,critic loss,average distance,time
3740,-1.6097,1.0649,5.4762,0min6sec
3750,-1.6055,1.0625,5.4730,0min6sec
3760,-1.6015,1.0600,5.4697,0min6sec
3770,-1.5976,1.0576,5.4664,0min6sec
3780,-1.5937,1.0553,5.4632,0min6sec
3790,-1.5897,1.0530,5.4601,0min6sec
3800,-1.5858,1.0507,5.4572,0min6sec
3810,-1.5819,1.0484,5.4543,0min6sec
3820,-1.5782,1.0462,5.4514,0min6sec
3830,-1.5744,1.0439,5.4483,0min6sec
3840,-1.5705,1.0415,5.4452,0min6sec
3850,-1.5667,1.0393,5.4421,0min6sec
3860,-1.5630,1.0370,5.4390,0min6sec
3870,-1.5592,1.0347,5.4361,0min6sec
3880,-1.5555,1.0325,5.4331,0min6sec
3890,-1.5517,1.0303,5.4301,0min6sec
3900,-1.5480,1.0280,5.4271,0min6sec
3910,-1.5442,1.0258,5.4240,0min6sec
3920,-1.5407,1.0237,5.4210,0min6sec
3930,-1.5370,1.0215,5.4180,0min6sec
3940,-1.5332,1.0194,5.4150,0min6sec
3950,-1.5296,1.0173,5.4121,0min6sec
3960,-1.5259,1.0151,5.4092,0min6sec
3970,-1.5222,1.0130,5.4062,0min6sec
3980,-1.5187,1.0108,5.4034,0min6sec
3990,-1.5151,1.0087,5.4005,0min6sec
4000,-1.5114,1.0065,5.3977,0min6sec
4010,-1.5079,1.0045,5.3950,0min6sec
4020,-1.5044,1.0025,5.3923,0min6sec
4030,-1.5008,1.0004,5.3895,0min6sec
4040,-1.4974,0.9983,5.3867,0min6sec
4050,-1.4940,0.9963,5.3840,0min6sec
4060,-1.4904,0.9943,5.3813,0min6sec
4070,-1.4870,0.9922,5.3785,0min6sec
4080,-1.4836,0.9901,5.3757,0min6sec
4090,-1.4801,0.9881,5.3729,0min6sec
4100,-1.4767,0.9862,5.3705,0min6sec
4110,-1.4734,0.9843,5.3682,0min6sec
4120,-1.4701,0.9823,5.3655,0min6sec
4130,-1.4667,0.9803,5.3630,0min6sec
4140,-1.4634,0.9783,5.3604,0min6sec
4150,-1.4600,0.9763,5.3577,0min6sec
4160,-1.4566,0.9744,5.3552,0min6sec
4170,-1.4534,0.9725,5.3528,0min6sec
4180,-1.4502,0.9707,5.3506,0min6sec
4190,-1.4471,0.9688,5.3482,0min6sec
4200,-1.4442,0.9670,5.3458,0min6sec
4210,-1.4409,0.9651,5.3433,0min6sec
4220,-1.4377,0.9632,5.3408,0min6sec
4230,-1.4345,0.9614,5.3385,0min6sec
4240,-1.4312,0.9596,5.3363,0min6sec
4250,-1.4280,0.9578,5.3340,0min6sec
4260,-1.4248,0.9559,5.3315,0min6sec
4270,-1.4216,0.9540,5.3290,0min6sec
4280,-1.4185,0.9521,5.3265,0min6sec
4290,-1.4154,0.9502,5.3239,0min6sec
4300,-1.4123,0.9484,5.3214,0min6sec
4310,-1.4092,0.9465,5.3189,0min6sec
4320,-1.4062,0.9447,5.3165,0min6sec
4330,-1.4032,0.9428,5.3140,0min6sec
4340,-1.4001,0.9410,5.3116,0min6sec
4350,-1.3970,0.9392,5.3093,0min6sec
4360,-1.3941,0.9374,5.3070,0min6sec
4370,-1.3911,0.9356,5.3046,0min6sec
4380,-1.3881,0.9338,5.3022,0min6sec
4390,-1.3851,0.9320,5.2997,0min6sec
4400,-1.3821,0.9302,5.2972,0min6sec
4410,-1.3791,0.9284,5.2948,0min6sec
4420,-1.3762,0.9267,5.2924,0min6sec
4430,-1.3732,0.9250,5.2900,0min6sec
4440,-1.3702,0.9232,5.2876,0min6sec
4450,-1.3674,0.9214,5.2851,0min6sec
4460,-1.3645,0.9197,5.2828,0min6sec
4470,-1.3616,0.9179,5.2804,0min6sec
4480,-1.3588,0.9162,5.2781,0min6sec
4490,-1.3559,0.9145,5.2757,0min6sec
4500,-1.3531,0.9127,5.2733,0min6sec
4510,-1.3501,0.9110,5.2710,0min6sec
4520,-1.3473,0.9093,5.2687,0min6sec
4530,-1.3445,0.9076,5.2664,0min6sec
4540,-1.3417,0.9060,5.2642,0min6sec
4550,-1.3390,0.9043,5.2619,0min6sec
4560,-1.3363,0.9027,5.2598,0min6sec
4570,-1.3335,0.9010,5.2575,0min6sec
4580,-1.3307,0.8994,5.2553,0min6sec
4590,-1.3280,0.8977,5.2530,0min6sec
4600,-1.3254,0.8961,5.2509,0min6sec
4610,-1.3226,0.8945,5.2488,0min6sec
4620,-1.3201,0.8930,5.2468,0min6sec
4630,-1.3177,0.8917,5.2454,0min6sec
4640,-1.3151,0.8904,5.2440,0min6sec
4650,-1.3125,0.8892,5.2425,0min6sec
4660,-1.3100,0.8878,5.2410,0min6sec
4670,-1.3073,0.8864,5.2392,0min6sec
4680,-1.3048,0.8849,5.2372,0min6sec
4690,-1.3021,0.8834,5.2356,0min6sec
4700,-1.2995,0.8821,5.2340,0min6sec
